subject_id,stimulus,condition,index,content,total_reading_time
P01,goldfish-pos.text.3,pos,242,pancakes,194
P01,goldfish-pos.text.3,pos,243,wafted,156
P01,goldfish-pos.text.3,pos,244,through,107
P01,goldfish-pos.text.3,pos,245,the,0
P01,goldfish-pos.text.3,pos,246,air.,0
P01,goldfish-pos.text.3,pos,247,Emma's,471
P01,goldfish-pos.text.3,pos,248,stomach,191
P01,goldfish-pos.text.3,pos,249,growled,188
P01,goldfish-pos.text.3,pos,250,in,0
P01,goldfish-pos.text.3,pos,251,anticipation.,233
P01,goldfish-pos.text.3,pos,252,Her,0
P01,goldfish-pos.text.3,pos,253,"mother,",446
P01,goldfish-pos.text.3,pos,254,busy,250
P01,goldfish-pos.text.3,pos,255,preparing,234
P01,goldfish-pos.text.3,pos,256,"breakfast,",151
P01,goldfish-pos.text.3,pos,257,smiled,258
P01,goldfish-pos.text.3,pos,258,knowingly.,216
P01,goldfish-pos.text.3,pos,259,"""Good",0
P01,goldfish-pos.text.3,pos,260,"morning,",217
P01,goldfish-pos.text.3,pos,261,"sweetie,""",103
P01,goldfish-pos.text.3,pos,262,she,129
P01,goldfish-pos.text.3,pos,263,"said,",149
P01,goldfish-pos.text.3,pos,264,presenting,188
P01,goldfish-pos.text.3,pos,265,Emma,225
P01,goldfish-pos.text.3,pos,266,with,0
P01,goldfish-pos.text.3,pos,267,a,162
P01,goldfish-pos.text.3,pos,268,steaming,131
P01,goldfish-pos.text.3,pos,269,plate,274
P01,goldfish-pos.text.3,pos,270,of,0
P01,goldfish-pos.text.3,pos,271,fluffy,132
P01,goldfish-pos.text.3,pos,272,"pancakes,",229
P01,goldfish-pos.text.3,pos,273,golden,226
P01,goldfish-pos.text.3,pos,274,syrup,102
P01,goldfish-pos.text.3,pos,275,drizzled,124
P01,goldfish-pos.text.3,pos,276,across,168
P01,goldfish-pos.text.3,pos,277,the,0
P01,goldfish-pos.text.3,pos,278,top.,0
P01,goldfish-pos.text.3,pos,279,Emma's,236
P01,goldfish-pos.text.3,pos,280,eyes,166
P01,goldfish-pos.text.3,pos,281,widened,158
P01,goldfish-pos.text.3,pos,282,in,242
P01,goldfish-pos.text.3,pos,283,awe.,0
P01,goldfish-pos.text.3,pos,284,"""Grandma's",387
P01,goldfish-pos.text.3,pos,285,wishes,589
P01,goldfish-pos.text.3,pos,286,really,594
P01,goldfish-pos.text.3,pos,287,"worked!""",235
P01,goldfish-pos.text.3,pos,288,Just,0
P01,goldfish-pos.text.3,pos,289,"then,",363
P01,goldfish-pos.text.3,pos,290,the,236
P01,goldfish-pos.text.3,pos,291,hospital,0
P01,goldfish-pos.text.3,pos,292,room's,221
P01,goldfish-pos.text.3,pos,293,intercom,208
P01,goldfish-pos.text.3,pos,294,crackled,308
P01,goldfish-pos.text.3,pos,295,to,0
P01,goldfish-pos.text.3,pos,296,life.,281
P01,goldfish-pos.text.3,pos,297,A,0
P01,goldfish-pos.text.3,pos,298,cheerful,221
P01,goldfish-pos.text.3,pos,299,voice,246
P01,goldfish-pos.text.3,pos,300,"announced,",147
P01,blackout-zero.text.0,zero,0,The,0
P01,blackout-zero.text.0,zero,1,Last,190
P01,blackout-zero.text.0,zero,2,Light,311
P01,blackout-zero.text.0,zero,3,On,108
P01,blackout-zero.text.0,zero,4,The,0
P01,blackout-zero.text.0,zero,5,darkness,223
P01,blackout-zero.text.0,zero,6,was,0
P01,blackout-zero.text.0,zero,7,"palpable,",483
P01,blackout-zero.text.0,zero,8,a,0
P01,blackout-zero.text.0,zero,9,"living,",267
P01,blackout-zero.text.0,zero,10,breathing,184
P01,blackout-zero.text.0,zero,11,entity,440
P01,blackout-zero.text.0,zero,12,that,127
P01,blackout-zero.text.0,zero,13,wrapped,109
P01,blackout-zero.text.0,zero,14,itself,282
P01,blackout-zero.text.0,zero,15,around,164
P01,blackout-zero.text.0,zero,16,the,0
P01,blackout-zero.text.0,zero,17,neighborhood,237
P01,blackout-zero.text.0,zero,18,like,241
P01,blackout-zero.text.0,zero,19,a,0
P01,blackout-zero.text.0,zero,20,shroud.,209
P01,blackout-zero.text.0,zero,21,It,0
P01,blackout-zero.text.0,zero,22,was,117
P01,blackout-zero.text.0,zero,23,as,530
P01,blackout-zero.text.0,zero,24,if,0
P01,blackout-zero.text.0,zero,25,the,403
P01,blackout-zero.text.0,zero,26,very,172
P01,blackout-zero.text.0,zero,27,fabric,105
P01,blackout-zero.text.0,zero,28,of,0
P01,blackout-zero.text.0,zero,29,reality,276
P01,blackout-zero.text.0,zero,30,had,0
P01,blackout-zero.text.0,zero,31,been,275
P01,blackout-zero.text.0,zero,32,torn,118
P01,blackout-zero.text.0,zero,33,"apart,",0
P01,blackout-zero.text.0,zero,34,leaving,288
P01,blackout-zero.text.0,zero,35,only,185
P01,blackout-zero.text.0,zero,36,an,0
P01,blackout-zero.text.0,zero,37,inky,267
P01,blackout-zero.text.0,zero,38,blackness,227
P01,blackout-zero.text.0,zero,39,that,137
P01,blackout-zero.text.0,zero,40,seemed,129
P01,blackout-zero.text.0,zero,41,to,0
P01,blackout-zero.text.0,zero,42,have,220
P01,blackout-zero.text.0,zero,43,a,0
P01,blackout-zero.text.0,zero,44,life,181
P01,blackout-zero.text.0,zero,45,of,0
P01,blackout-zero.text.0,zero,46,its,501
P01,blackout-zero.text.0,zero,47,own.,0
P01,blackout-zero.text.0,zero,48,The,130
P01,blackout-zero.text.0,zero,49,streets,129
P01,blackout-zero.text.0,zero,50,were,138
P01,blackout-zero.text.0,zero,51,"deserted,",311
P01,blackout-zero.text.0,zero,52,the,165
P01,blackout-zero.text.0,zero,53,only,0
P01,blackout-zero.text.0,zero,54,sound,299
P01,blackout-zero.text.0,zero,55,the,0
P01,blackout-zero.text.0,zero,56,distant,215
P01,blackout-zero.text.0,zero,57,hum,392
P01,blackout-zero.text.0,zero,58,of,0
P01,blackout-zero.text.0,zero,59,generators,132
P01,blackout-zero.text.0,zero,60,and,0
P01,blackout-zero.text.0,zero,61,the,204
P01,blackout-zero.text.0,zero,62,creaking,248
P01,blackout-zero.text.0,zero,63,of,0
P01,blackout-zero.text.0,zero,64,trees,106
P01,blackout-zero.text.0,zero,65,swaying,232
P01,blackout-zero.text.0,zero,66,in,0
P01,blackout-zero.text.0,zero,67,the,142
P01,blackout-zero.text.0,zero,68,wind.,0
P01,blackout-zero.text.0,zero,69,But,0
P01,blackout-zero.text.0,zero,70,"then,",262
P01,blackout-zero.text.0,zero,71,like,133
P01,blackout-zero.text.0,zero,72,a,0
P01,blackout-zero.text.0,zero,73,beacon,479
P01,blackout-zero.text.0,zero,74,of,0
P01,blackout-zero.text.0,zero,75,"hope,",470
P01,blackout-zero.text.0,zero,76,a,0
P01,blackout-zero.text.0,zero,77,single,858
P01,blackout-zero.text.0,zero,78,light,289
P01,blackout-zero.text.0,zero,79,flickered,256
P01,blackout-zero.text.0,zero,80,to,0
P01,blackout-zero.text.0,zero,81,life,438
P01,blackout-zero.text.0,zero,82,in,0
P01,blackout-zero.text.0,zero,83,the,0
P01,blackout-zero.text.0,zero,84,distance.,1024
P01,blackout-zero.text.0,zero,85,It,0
P01,blackout-zero.text.0,zero,86,was,174
P01,blackout-zero.text.0,zero,87,a,0
P01,blackout-zero.text.0,zero,88,"warm,",343
P01,blackout-zero.text.0,zero,89,golden,193
P01,blackout-zero.text.0,zero,90,glow,224
P01,blackout-zero.text.0,zero,91,that,0
P01,blackout-zero.text.0,zero,92,seemed,213
P01,blackout-zero.text.0,zero,93,to,0
P01,blackout-zero.text.0,zero,94,pulse,278
P01,blackout-zero.text.0,zero,95,with,109
P01,blackout-zero.text.0,zero,96,an,162
P01,blackout-zero.text.0,zero,97,otherworldly,790
P01,blackout-zero.text.0,zero,98,energy.,243
P01,blackout-zero.text.0,zero,99,The,189
P01,blackout-zero.text.0,zero,100,light,168
P01,blackout-zero.text.0,zero,101,grew,146
P01,blackout-zero.text.0,zero,102,"brighter,",298
P01,blackout-zero.text.0,zero,103,illuminating,295
P01,blackout-zero.text.0,zero,104,the,197
P01,blackout-zero.text.0,zero,105,darkened,164
P01,blackout-zero.text.0,zero,106,streets,264
P01,blackout-zero.text.0,zero,107,and,0
P01,blackout-zero.text.0,zero,108,casting,289
P01,blackout-zero.text.0,zero,109,long,146
P01,blackout-zero.text.0,zero,110,shadows,0
P01,blackout-zero.text.0,zero,111,across,0
P01,blackout-zero.text.0,zero,112,the,0
P01,blackout-zero.naturalness,zero,0,How,0
P01,blackout-zero.naturalness,zero,1,natural,749
P01,blackout-zero.naturalness,zero,2,and,285
P01,blackout-zero.naturalness,zero,3,fluent,940
P01,blackout-zero.naturalness,zero,4,was,0
P01,blackout-zero.naturalness,zero,5,the,152
P01,blackout-zero.naturalness,zero,6,writing,424
P01,blackout-zero.naturalness,zero,7,style,135
P01,blackout-zero.naturalness,zero,8,in,125
P01,blackout-zero.naturalness,zero,9,this,0
P01,blackout-zero.naturalness,zero,10,text?,0
P01,blackout-zero.naturalness,zero,11,4,0
P01,blackout-zero.naturalness,zero,12,–,0
P01,blackout-zero.naturalness,zero,13,very,0
P01,blackout-zero.naturalness,zero,14,natural,0
P01,blackout-zero.naturalness,zero,15,3,0
P01,blackout-zero.naturalness,zero,16,–,0
P01,blackout-zero.naturalness,zero,17,rather,990
P01,blackout-zero.naturalness,zero,18,natural,0
P01,blackout-zero.naturalness,zero,19,2,0
P01,blackout-zero.naturalness,zero,20,–,0
P01,blackout-zero.naturalness,zero,21,rather,1097
P01,blackout-zero.naturalness,zero,22,unnatural,105
P01,blackout-zero.naturalness,zero,23,1,0
P01,blackout-zero.naturalness,zero,24,–,0
P01,blackout-zero.naturalness,zero,25,very,0
P01,blackout-zero.naturalness,zero,26,unnatural,0
P01,delayed-pos.naturalness,pos,0,How,0
P01,delayed-pos.naturalness,pos,1,natural,125
P01,delayed-pos.naturalness,pos,2,and,304
P01,delayed-pos.naturalness,pos,3,fluent,0
P01,delayed-pos.naturalness,pos,4,was,213
P01,delayed-pos.naturalness,pos,5,the,115
P01,delayed-pos.naturalness,pos,6,writing,0
P01,delayed-pos.naturalness,pos,7,style,0
P01,delayed-pos.naturalness,pos,8,in,0
P01,delayed-pos.naturalness,pos,9,this,0
P01,delayed-pos.naturalness,pos,10,text?,0
P01,delayed-pos.naturalness,pos,11,4,0
P01,delayed-pos.naturalness,pos,12,–,0
P01,delayed-pos.naturalness,pos,13,very,125
P01,delayed-pos.naturalness,pos,14,natural,0
P01,delayed-pos.naturalness,pos,15,3,0
P01,delayed-pos.naturalness,pos,16,–,0
P01,delayed-pos.naturalness,pos,17,rather,160
P01,delayed-pos.naturalness,pos,18,natural,0
P01,delayed-pos.naturalness,pos,19,2,0
P01,delayed-pos.naturalness,pos,20,–,0
P01,delayed-pos.naturalness,pos,21,rather,710
P01,delayed-pos.naturalness,pos,22,unnatural,113
P01,delayed-pos.naturalness,pos,23,1,0
P01,delayed-pos.naturalness,pos,24,–,0
P01,delayed-pos.naturalness,pos,25,very,0
P01,delayed-pos.naturalness,pos,26,unnatural,0
P01,voicemail-neg.text.1,neg,101,Emily's,530
P01,voicemail-neg.text.1,neg,102,heart,192
P01,voicemail-neg.text.1,neg,103,began,141
P01,voicemail-neg.text.1,neg,104,to,0
P01,voicemail-neg.text.1,neg,105,pound,352
P01,voicemail-neg.text.1,neg,106,in,0
P01,voicemail-neg.text.1,neg,107,her,179
P01,voicemail-neg.text.1,neg,108,chest,144
P01,voicemail-neg.text.1,neg,109,as,0
P01,voicemail-neg.text.1,neg,110,she,281
P01,voicemail-neg.text.1,neg,111,listened,103
P01,voicemail-neg.text.1,neg,112,to,187
P01,voicemail-neg.text.1,neg,113,the,0
P01,voicemail-neg.text.1,neg,114,message,116
P01,voicemail-neg.text.1,neg,115,over,121
P01,voicemail-neg.text.1,neg,116,and,0
P01,voicemail-neg.text.1,neg,117,"over,",154
P01,voicemail-neg.text.1,neg,118,trying,217
P01,voicemail-neg.text.1,neg,119,to,0
P01,voicemail-neg.text.1,neg,120,make,0
P01,voicemail-neg.text.1,neg,121,sense,246
P01,voicemail-neg.text.1,neg,122,of,0
P01,voicemail-neg.text.1,neg,123,it.,0
P01,voicemail-neg.text.1,neg,124,Who,153
P01,voicemail-neg.text.1,neg,125,was,110
P01,voicemail-neg.text.1,neg,126,this,193
P01,voicemail-neg.text.1,neg,127,person?,0
P01,voicemail-neg.text.1,neg,128,What,249
P01,voicemail-neg.text.1,neg,129,did,0
P01,voicemail-neg.text.1,neg,130,they,203
P01,voicemail-neg.text.1,neg,131,mean?,0
P01,voicemail-neg.text.1,neg,132,And,122
P01,voicemail-neg.text.1,neg,133,who,125
P01,voicemail-neg.text.1,neg,134,was,0
P01,voicemail-neg.text.1,neg,135,coming,263
P01,voicemail-neg.text.1,neg,136,for,0
P01,voicemail-neg.text.1,neg,137,her?,0
P01,voicemail-neg.text.1,neg,138,She,0
P01,voicemail-neg.text.1,neg,139,tried,234
P01,voicemail-neg.text.1,neg,140,to,0
P01,voicemail-neg.text.1,neg,141,shake,176
P01,voicemail-neg.text.1,neg,142,off,0
P01,voicemail-neg.text.1,neg,143,the,260
P01,voicemail-neg.text.1,neg,144,feeling,0
P01,voicemail-neg.text.1,neg,145,of,118
P01,voicemail-neg.text.1,neg,146,"unease,",0
P01,voicemail-neg.text.1,neg,147,telling,198
P01,voicemail-neg.text.1,neg,148,herself,254
P01,voicemail-neg.text.1,neg,149,it,0
P01,voicemail-neg.text.1,neg,150,was,223
P01,voicemail-neg.text.1,neg,151,just,0
P01,voicemail-neg.text.1,neg,152,a,134
P01,voicemail-neg.text.1,neg,153,prank,127
P01,voicemail-neg.text.1,neg,154,or,0
P01,voicemail-neg.text.1,neg,155,a,0
P01,voicemail-neg.text.1,neg,156,wrong,157
P01,voicemail-neg.text.1,neg,157,number.,0
P01,voicemail-neg.text.1,neg,158,But,0
P01,voicemail-neg.text.1,neg,159,the,237
P01,voicemail-neg.text.1,neg,160,words,111
P01,voicemail-neg.text.1,neg,161,kept,130
P01,voicemail-neg.text.1,neg,162,echoing,413
P01,voicemail-neg.text.1,neg,163,in,0
P01,voicemail-neg.text.1,neg,164,her,0
P01,voicemail-neg.text.1,neg,165,"mind,",140
P01,voicemail-neg.text.1,neg,166,"""They're",267
P01,voicemail-neg.text.1,neg,167,coming,200
P01,voicemail-neg.text.1,neg,168,for,0
P01,voicemail-neg.text.1,neg,169,you.,117
P01,voicemail-neg.text.1,neg,170,Get,0
P01,voicemail-neg.text.1,neg,171,out,0
P01,voicemail-neg.text.1,neg,172,while,543
P01,voicemail-neg.text.1,neg,173,you,0
P01,voicemail-neg.text.1,neg,174,still,215
P01,voicemail-neg.text.1,neg,175,"can.""",0
P01,voicemail-neg.text.1,neg,176,As,0
P01,voicemail-neg.text.1,neg,177,the,144
P01,voicemail-neg.text.1,neg,178,days,173
P01,voicemail-neg.text.1,neg,179,went,187
P01,voicemail-neg.text.1,neg,180,"by,",0
P01,voicemail-neg.text.1,neg,181,Emily,169
P01,voicemail-neg.text.1,neg,182,found,166
P01,voicemail-neg.text.1,neg,183,herself,163
P01,voicemail-neg.text.1,neg,184,on,0
P01,voicemail-neg.text.1,neg,185,edge.,166
P01,voicemail-neg.text.1,neg,186,She,0
P01,voicemail-neg.text.1,neg,187,couldn't,218
P01,voicemail-neg.text.1,neg,188,shake,258
P01,voicemail-neg.text.1,neg,189,the,0
P01,voicemail-neg.text.1,neg,190,feeling,160
P01,voicemail-neg.text.1,neg,191,that,0
P01,voicemail-neg.text.1,neg,192,someone,149
P01,voicemail-neg.text.1,neg,193,was,118
P01,voicemail-neg.text.1,neg,194,watching,208
P01,voicemail-neg.text.1,neg,195,"her,",0
P01,voicemail-neg.text.1,neg,196,waiting,0
P01,voicemail-neg.text.1,neg,197,for,234
P01,voicemail-neg.text.1,neg,198,her,106
P01,voicemail-neg.text.1,neg,199,to,0
P01,voicemail-neg.text.1,neg,200,make,0
P01,voicemail-neg.text.1,neg,201,a,0
P01,voicemail-neg.text.1,neg,202,wrong,147
P01,voicemail-neg.text.1,neg,203,move.,0
P01,voicemail-neg.text.1,neg,204,She,0
P01,voicemail-neg.text.1,neg,205,started,386
P01,voicemail-neg.text.1,neg,206,to,0
P01,voicemail-neg.text.1,neg,207,vary,160
P01,voicemail-neg.text.1,neg,208,her,129
P01,voicemail-neg.text.1,neg,209,"routine,",153
P01,voicemail-neg.text.1,neg,210,taking,231
P01,voicemail-neg.text.1,neg,211,different,133
P01,voicemail-neg.text.1,neg,212,routes,217
P01,voicemail-neg.text.1,neg,213,to,0
P01,voicemail-neg.text.1,neg,214,work,223
P01,voicemail-neg.text.1,neg,215,and,0
P01,voicemail-neg.text.1,neg,216,changing,190
P01,voicemail-neg.text.1,neg,217,her,0
P01,voicemail-neg.text.1,neg,218,daily,276
P01,voicemail-neg.text.1,neg,219,habits.,106
P01,voicemail-neg.text.1,neg,220,But,211
P01,voicemail-neg.naturalness,neg,0,How,0
P01,voicemail-neg.naturalness,neg,1,natural,686
P01,voicemail-neg.naturalness,neg,2,and,0
P01,voicemail-neg.naturalness,neg,3,fluent,127
P01,voicemail-neg.naturalness,neg,4,was,0
P01,voicemail-neg.naturalness,neg,5,the,104
P01,voicemail-neg.naturalness,neg,6,writing,110
P01,voicemail-neg.naturalness,neg,7,style,0
P01,voicemail-neg.naturalness,neg,8,in,0
P01,voicemail-neg.naturalness,neg,9,this,0
P01,voicemail-neg.naturalness,neg,10,text?,0
P01,voicemail-neg.naturalness,neg,11,4,0
P01,voicemail-neg.naturalness,neg,12,–,0
P01,voicemail-neg.naturalness,neg,13,very,0
P01,voicemail-neg.naturalness,neg,14,natural,0
P01,voicemail-neg.naturalness,neg,15,3,0
P01,voicemail-neg.naturalness,neg,16,–,0
P01,voicemail-neg.naturalness,neg,17,rather,0
P01,voicemail-neg.naturalness,neg,18,natural,0
P01,voicemail-neg.naturalness,neg,19,2,0
P01,voicemail-neg.naturalness,neg,20,–,0
P01,voicemail-neg.naturalness,neg,21,rather,411
P01,voicemail-neg.naturalness,neg,22,unnatural,0
P01,voicemail-neg.naturalness,neg,23,1,0
P01,voicemail-neg.naturalness,neg,24,–,0
P01,voicemail-neg.naturalness,neg,25,very,266
P01,voicemail-neg.naturalness,neg,26,unnatural,428
P01,blackout-zero.question,zero,0,What,101
P01,blackout-zero.question,zero,1,discovery,120
P01,blackout-zero.question,zero,2,does,0
P01,blackout-zero.question,zero,3,Sarah,0
P01,blackout-zero.question,zero,4,make,154
P01,blackout-zero.question,zero,5,in,0
P01,blackout-zero.question,zero,6,the,0
P01,blackout-zero.question,zero,7,attic?,0
P01,blackout-zero.question,zero,8,The,177
P01,blackout-zero.question,zero,9,attic,0
P01,blackout-zero.question,zero,10,is,108
P01,blackout-zero.question,zero,11,completely,152
P01,blackout-zero.question,zero,12,empty,0
P01,blackout-zero.question,zero,13,A,0
P01,blackout-zero.question,zero,14,hidden,234
P01,blackout-zero.question,zero,15,staircase,157
P01,blackout-zero.question,zero,16,leads,184
P01,blackout-zero.question,zero,17,to,0
P01,blackout-zero.question,zero,18,a,0
P01,blackout-zero.question,zero,19,basement,0
P01,blackout-zero.question,zero,20,A,0
P01,blackout-zero.question,zero,21,figure,165
P01,blackout-zero.question,zero,22,is,0
P01,blackout-zero.question,zero,23,standing,120
P01,blackout-zero.question,zero,24,under,136
P01,blackout-zero.question,zero,25,a,181
P01,blackout-zero.question,zero,26,light,0
P01,blackout-zero.question,zero,27,The,166
P01,blackout-zero.question,zero,28,house,326
P01,blackout-zero.question,zero,29,is,0
P01,blackout-zero.question,zero,30,on,229
P01,blackout-zero.question,zero,31,fire,0
P01,prize-neg.text.3,neg,413,yourself.,223
P01,prize-neg.text.3,neg,414,Are,0
P01,prize-neg.text.3,neg,415,you,141
P01,prize-neg.text.3,neg,416,ready,104
P01,prize-neg.text.3,neg,417,to,0
P01,prize-neg.text.3,neg,418,take,145
P01,prize-neg.text.3,neg,419,the,245
P01,prize-neg.text.3,neg,420,leap,0
P01,prize-neg.text.3,neg,421,and,0
P01,prize-neg.text.3,neg,422,see,170
P01,prize-neg.text.3,neg,423,where,138
P01,prize-neg.text.3,neg,424,it,0
P01,prize-neg.text.3,neg,425,takes,207
P01,prize-neg.text.3,neg,426,"you?""",0
P01,prize-neg.text.3,neg,427,As,0
P01,prize-neg.text.3,neg,428,Emma,0
P01,prize-neg.text.3,neg,429,looked,124
P01,prize-neg.text.3,neg,430,at,0
P01,prize-neg.text.3,neg,431,the,115
P01,prize-neg.text.3,neg,432,"package,",0
P01,prize-neg.text.3,neg,433,she,305
P01,prize-neg.text.3,neg,434,saw,0
P01,prize-neg.text.3,neg,435,that,0
P01,prize-neg.text.3,neg,436,it,106
P01,prize-neg.text.3,neg,437,was,0
P01,prize-neg.text.3,neg,438,a,101
P01,prize-neg.text.3,neg,439,small,452
P01,prize-neg.text.3,neg,440,key.,0
P01,prize-neg.text.3,neg,441,A,0
P01,prize-neg.text.3,neg,442,key,377
P01,prize-neg.text.3,neg,443,to,0
P01,prize-neg.text.3,neg,444,a,0
P01,prize-neg.text.3,neg,445,door,336
P01,prize-neg.text.3,neg,446,she,123
P01,prize-neg.text.3,neg,447,had,0
P01,prize-neg.text.3,neg,448,never,145
P01,prize-neg.text.3,neg,449,seen,236
P01,prize-neg.text.3,neg,450,"before,",122
P01,prize-neg.text.3,neg,451,a,226
P01,prize-neg.text.3,neg,452,door,208
P01,prize-neg.text.3,neg,453,that,126
P01,prize-neg.text.3,neg,454,seemed,0
P01,prize-neg.text.3,neg,455,to,127
P01,prize-neg.text.3,neg,456,lead,216
P01,prize-neg.text.3,neg,457,to,0
P01,prize-neg.text.3,neg,458,a,0
P01,prize-neg.text.3,neg,459,whole,304
P01,prize-neg.text.3,neg,460,new,215
P01,prize-neg.text.3,neg,461,world.,0
P01,prize-neg.text.3,neg,462,And,180
