time,stimulus,pixel_x,pixel_y,pupil
1336218,breakfast-neg.text.0,17.8,127.98,383.0
1336219,breakfast-neg.text.0,18.1,127.68,383.0
1336220,breakfast-neg.text.0,18.2,127.18,384.0
1336221,breakfast-neg.text.0,18.3,126.58,383.0
1336222,breakfast-neg.text.0,18.5,126.18,382.0
1336223,breakfast-neg.text.0,18.6,125.78,381.0
1336224,breakfast-neg.text.0,18.3,125.49,382.0
1336225,breakfast-neg.text.0,18.0,125.29,382.0
1336226,breakfast-neg.text.0,17.6,125.3,383.0
1336227,breakfast-neg.text.0,17.4,125.5,383.0
1336228,breakfast-neg.text.0,17.2,125.61,383.0
1336229,breakfast-neg.text.0,16.9,125.22,384.0
1336230,breakfast-neg.text.0,16.9,124.72,385.0
1336231,breakfast-neg.text.0,16.9,124.22,385.0
1336232,breakfast-neg.text.0,16.9,124.12,385.0
1336233,breakfast-neg.text.0,16.6,124.03,384.0
1336234,breakfast-neg.text.0,16.3,123.74,383.0
1336235,breakfast-neg.text.0,15.7,123.25,383.0
1336236,breakfast-neg.text.0,15.6,122.76,383.0
1336237,breakfast-neg.text.0,15.5,122.26,382.0
1336238,breakfast-neg.text.0,15.6,121.96,382.0
1336239,breakfast-neg.text.0,15.9,121.66,382.0
1336240,breakfast-neg.text.0,16.1,121.65,382.0
1336241,breakfast-neg.text.0,15.8,121.76,382.0
1336242,breakfast-neg.text.0,15.5,121.47,383.0
1336243,breakfast-neg.text.0,15.3,121.17,383.0
1336244,breakfast-neg.text.0,15.5,120.97,383.0
1336245,breakfast-neg.text.0,15.8,121.06,384.0
1336246,breakfast-neg.text.0,15.8,121.26,384.0
1336247,breakfast-neg.text.0,15.7,121.26,383.0
1336248,breakfast-neg.text.0,15.5,121.27,382.0
1336249,breakfast-neg.text.0,15.3,121.27,381.0
1336250,breakfast-neg.text.0,14.7,121.28,382.0
1336251,breakfast-neg.text.0,14.1,121.4,383.0
1336252,breakfast-neg.text.0,13.6,121.51,383.0
1336253,breakfast-neg.text.0,13.6,121.51,383.0
1336254,breakfast-neg.text.0,14.1,121.5,383.0
1336255,breakfast-neg.text.0,14.6,121.58,383.0
1336256,breakfast-neg.text.0,15.0,121.68,383.0
1336257,breakfast-neg.text.0,15.1,121.28,382.0
1336258,breakfast-neg.text.0,14.9,120.88,382.0
1336259,breakfast-neg.text.0,14.8,120.29,383.0
1336260,breakfast-neg.text.0,14.5,120.2,383.0
1336261,breakfast-neg.text.0,14.4,120.2,383.0
1336262,breakfast-neg.text.0,14.2,120.3,384.0
1336263,breakfast-neg.text.0,14.1,120.4,384.0
1336264,breakfast-neg.text.0,14.0,120.5,384.0
1336265,breakfast-neg.text.0,14.0,120.4,385.0
1336266,breakfast-neg.text.0,14.2,120.3,384.0
1336267,breakfast-neg.text.0,14.4,120.1,384.0
1336268,breakfast-neg.text.0,14.6,119.99,383.0
1336269,breakfast-neg.text.0,14.1,119.91,383.0
1336270,breakfast-neg.text.0,13.6,120.02,383.0
1336271,breakfast-neg.text.0,13.7,120.01,384.0
1336272,breakfast-neg.text.0,14.1,119.71,384.0
1336273,breakfast-neg.text.0,14.6,119.3,384.0
1336274,breakfast-neg.text.0,14.6,119.0,384.0
1336275,breakfast-neg.text.0,14.7,119.1,384.0
1336276,breakfast-neg.text.0,14.8,119.2,385.0
1336277,breakfast-neg.text.0,15.0,119.19,385.0
1336278,breakfast-neg.text.0,15.0,119.19,385.0
1336279,breakfast-neg.text.0,14.4,119.7,384.0
1336280,breakfast-neg.text.0,13.8,120.11,384.0
1336281,breakfast-neg.text.0,13.3,120.52,384.0
1336282,breakfast-neg.text.0,13.1,120.62,384.0
1336283,breakfast-neg.text.0,12.9,120.63,384.0
1336284,breakfast-neg.text.0,12.7,120.53,384.0
1336285,breakfast-neg.text.0,12.6,120.43,384.0
1336286,breakfast-neg.text.0,12.8,120.43,384.0
1336287,breakfast-neg.text.0,13.2,120.32,383.0
1336288,breakfast-neg.text.0,13.6,120.21,383.0
1336289,breakfast-neg.text.0,14.0,120.01,383.0
1336290,breakfast-neg.text.0,14.0,119.91,383.0
1336291,breakfast-neg.text.0,14.1,119.61,383.0
1336292,breakfast-neg.text.0,14.1,119.31,384.0
1336293,breakfast-neg.text.0,13.8,119.02,383.0
1336294,breakfast-neg.text.0,13.5,119.02,383.0
1336295,breakfast-neg.text.0,13.2,119.13,382.0
1336296,breakfast-neg.text.0,13.4,119.12,382.0
1336297,breakfast-neg.text.0,13.7,119.22,382.0
1336298,breakfast-neg.text.0,13.5,119.22,383.0
1336299,breakfast-neg.text.0,13.1,119.23,383.0
1336300,breakfast-neg.text.0,12.7,119.14,384.0
1336301,breakfast-neg.text.0,12.5,119.54,383.0
1336302,breakfast-neg.text.0,12.5,120.34,383.0
1336303,breakfast-neg.text.0,12.5,121.03,383.0
1336304,breakfast-neg.text.0,12.6,121.23,382.0
1336305,breakfast-neg.text.0,12.6,121.13,382.0
1336306,breakfast-neg.text.0,12.7,120.93,383.0
1336307,breakfast-neg.text.0,12.7,120.33,383.0
1336308,breakfast-neg.text.0,13.3,119.72,383.0
1336309,breakfast-neg.text.0,13.8,119.22,383.0
1336310,breakfast-neg.text.0,13.8,119.51,383.0
1336311,breakfast-neg.text.0,13.3,119.82,383.0
1336312,breakfast-neg.text.0,12.8,120.23,383.0
1336313,breakfast-neg.text.0,12.8,120.33,383.0
1336314,breakfast-neg.text.0,12.8,120.23,383.0
1336315,breakfast-neg.text.0,12.5,120.14,383.0
1336316,breakfast-neg.text.0,12.2,120.04,384.0
1336317,breakfast-neg.text.0,11.9,120.25,384.0
1336318,breakfast-neg.text.0,11.9,120.05,384.0
1336319,breakfast-neg.text.0,11.9,119.85,384.0
1336320,breakfast-neg.text.0,12.0,119.65,383.0
1336321,breakfast-neg.text.0,12.1,119.45,382.0
1336322,breakfast-neg.text.0,11.9,119.55,381.0
1336323,breakfast-neg.text.0,11.6,119.76,382.0
1336324,breakfast-neg.text.0,11.3,120.06,382.0
1336325,breakfast-neg.text.0,11.6,120.16,382.0
1336326,breakfast-neg.text.0,12.1,120.14,382.0
1336327,breakfast-neg.text.0,12.6,120.04,382.0
1336328,breakfast-neg.text.0,12.7,119.74,382.0
1336329,breakfast-neg.text.0,12.8,119.53,382.0
1336330,breakfast-neg.text.0,12.6,119.54,382.0
1336331,breakfast-neg.text.0,12.4,119.64,382.0
1336332,breakfast-neg.text.0,12.4,119.54,382.0
1336333,breakfast-neg.text.0,12.7,119.34,382.0
1336334,breakfast-neg.text.0,12.9,119.13,382.0
1336335,breakfast-neg.text.0,13.0,118.93,382.0
1336336,breakfast-neg.text.0,13.0,118.83,381.0
1336337,breakfast-neg.text.0,13.1,118.73,381.0
1336338,breakfast-neg.text.0,13.1,119.13,380.0
1336339,breakfast-neg.text.0,13.1,119.53,379.0
1336340,breakfast-neg.text.0,13.3,119.92,379.0
1336341,breakfast-neg.text.0,13.4,120.02,379.0
1336342,breakfast-neg.text.0,13.6,119.62,380.0
1336343,breakfast-neg.text.0,13.8,119.22,380.0
1336344,breakfast-neg.text.0,14.0,119.21,381.0
1336345,breakfast-neg.text.0,14.1,119.51,381.0
1336346,breakfast-neg.text.0,13.9,119.91,381.0
1336347,breakfast-neg.text.0,13.7,119.81,381.0
1336348,breakfast-neg.text.0,13.6,119.72,380.0
1336349,breakfast-neg.text.0,13.5,119.72,380.0
1336350,breakfast-neg.text.0,13.6,119.72,380.0
1336351,breakfast-neg.text.0,13.7,119.62,380.0
1336352,breakfast-neg.text.0,14.1,119.21,380.0
1336353,breakfast-neg.text.0,14.4,118.81,380.0
1336354,breakfast-neg.text.0,14.7,118.8,380.0
1336355,breakfast-neg.text.0,14.7,119.1,381.0
1336356,breakfast-neg.text.0,14.5,119.4,381.0
1336357,breakfast-neg.text.0,14.3,119.21,381.0
1336358,breakfast-neg.text.0,14.0,119.11,382.0
1336359,breakfast-neg.text.0,13.9,118.82,382.0
1336360,breakfast-neg.text.0,14.2,118.81,382.0
1336361,breakfast-neg.text.0,14.4,119.5,382.0
1336362,breakfast-neg.text.0,14.6,120.19,381.0
1336363,breakfast-neg.text.0,14.4,120.99,381.0
1336364,breakfast-neg.text.0,14.6,120.59,381.0
1336365,breakfast-neg.text.0,14.8,120.19,381.0
1336366,breakfast-neg.text.0,15.0,119.89,381.0
1336367,breakfast-neg.text.0,15.0,119.89,381.0
1336368,breakfast-neg.text.0,14.8,120.09,381.0
1336369,breakfast-neg.text.0,14.5,120.2,381.0
1336370,breakfast-neg.text.0,14.3,120.0,381.0
1336371,breakfast-neg.text.0,14.4,119.6,381.0
1336372,breakfast-neg.text.0,14.4,119.5,381.0
1336373,breakfast-neg.text.0,14.4,119.8,381.0
1336374,breakfast-neg.text.0,14.5,119.9,381.0
1336375,breakfast-neg.text.0,14.8,119.79,381.0
1336376,breakfast-neg.text.0,15.1,119.98,381.0
1336377,breakfast-neg.text.0,15.1,120.18,381.0
1336378,breakfast-neg.text.0,15.0,120.48,380.0
1336379,breakfast-neg.text.0,14.9,120.49,380.0
1336380,breakfast-neg.text.0,14.7,120.49,380.0
1336381,breakfast-neg.text.0,14.5,120.29,380.0
1336382,breakfast-neg.text.0,14.3,120.0,380.0
1336383,breakfast-neg.text.0,14.3,120.2,380.0
1336384,breakfast-neg.text.0,14.2,120.6,380.0
1336385,breakfast-neg.text.0,14.2,121.1,381.0
1336386,breakfast-neg.text.0,14.2,121.2,381.0
1336387,breakfast-neg.text.0,14.1,121.2,381.0
1336388,breakfast-neg.text.0,13.8,121.3,381.0
1336389,breakfast-neg.text.0,13.7,120.91,382.0
1336390,breakfast-neg.text.0,13.6,120.51,382.0
1336391,breakfast-neg.text.0,13.8,120.11,381.0
1336392,breakfast-neg.text.0,13.9,120.11,381.0
1336393,breakfast-neg.text.0,14.1,120.0,381.0
1336394,breakfast-neg.text.0,14.4,120.0,380.0
1336395,breakfast-neg.text.0,14.7,119.89,380.0
1336396,breakfast-neg.text.0,14.7,119.79,380.0
1336397,breakfast-neg.text.0,14.7,119.79,380.0
1336398,breakfast-neg.text.0,14.7,119.69,380.0
1336399,breakfast-neg.text.0,14.5,119.7,380.0
1336400,breakfast-neg.text.0,14.1,119.91,380.0
1336401,breakfast-neg.text.0,13.7,120.21,379.0
1336402,breakfast-neg.text.0,13.4,120.42,379.0
1336403,breakfast-neg.text.0,13.8,120.31,379.0
1336404,breakfast-neg.text.0,14.1,120.3,379.0
1336405,breakfast-neg.text.0,14.2,120.4,380.0
1336406,breakfast-neg.text.0,13.9,120.41,380.0
1336407,breakfast-neg.text.0,13.6,120.31,380.0
1336408,breakfast-neg.text.0,13.9,120.11,380.0
1336409,breakfast-neg.text.0,14.1,120.0,380.0
1336410,breakfast-neg.text.0,14.1,120.1,380.0
1336411,breakfast-neg.text.0,13.9,120.51,381.0
1336412,breakfast-neg.text.0,13.8,120.61,380.0
1336413,breakfast-neg.text.0,13.8,120.21,380.0
1336414,breakfast-neg.text.0,13.8,119.91,379.0
1336415,breakfast-neg.text.0,13.7,120.01,380.0
1336416,breakfast-neg.text.0,13.5,120.22,380.0
1336417,breakfast-neg.text.0,13.4,120.52,381.0
1336418,breakfast-neg.text.0,13.1,120.62,381.0
1336419,breakfast-neg.text.0,12.7,120.83,381.0
1336420,breakfast-neg.text.0,12.3,120.84,381.0
1336421,breakfast-neg.text.0,12.4,120.83,381.0
1336422,breakfast-neg.text.0,12.4,120.74,381.0
1336423,breakfast-neg.text.0,12.5,120.73,381.0
1336424,breakfast-neg.text.0,12.5,120.83,381.0
1336425,breakfast-neg.text.0,13.0,121.02,380.0
1336426,breakfast-neg.text.0,13.4,121.21,380.0
1336427,breakfast-neg.text.0,13.7,121.11,380.0
1336428,breakfast-neg.text.0,13.3,121.11,380.0
1336429,breakfast-neg.text.0,12.8,121.22,379.0
1336430,breakfast-neg.text.0,12.6,121.03,380.0
1336431,breakfast-neg.text.0,12.8,120.63,380.0
1336432,breakfast-neg.text.0,13.0,120.33,381.0
1336433,breakfast-neg.text.0,13.2,120.42,381.0
1336434,breakfast-neg.text.0,13.2,120.52,381.0
1336435,breakfast-neg.text.0,13.4,120.52,381.0
1336436,breakfast-neg.text.0,13.5,120.41,380.0
1336437,breakfast-neg.text.0,13.6,120.21,380.0
1336438,breakfast-neg.text.0,13.7,120.21,381.0
1336439,breakfast-neg.text.0,13.8,120.31,381.0
1336440,breakfast-neg.text.0,13.8,120.41,381.0
1336441,breakfast-neg.text.0,13.1,120.72,381.0
1336442,breakfast-neg.text.0,12.4,120.93,381.0
1336443,breakfast-neg.text.0,12.1,121.14,381.0
1336444,breakfast-neg.text.0,12.4,121.03,381.0
1336445,breakfast-neg.text.0,12.8,120.83,380.0
1336446,breakfast-neg.text.0,12.9,120.72,380.0
1336447,breakfast-neg.text.0,12.8,120.63,380.0
1336448,breakfast-neg.text.0,12.8,120.33,379.0
1336449,breakfast-neg.text.0,12.7,119.83,379.0
1336450,breakfast-neg.text.0,12.5,119.54,380.0
1336451,breakfast-neg.text.0,12.2,119.55,381.0
1336452,breakfast-neg.text.0,12.0,119.85,382.0
1336453,breakfast-neg.text.0,12.0,119.95,382.0
1336454,breakfast-neg.text.0,12.0,120.15,383.0
1336455,breakfast-neg.text.0,12.0,120.25,383.0
1336456,breakfast-neg.text.0,11.8,120.65,383.0
1336457,breakfast-neg.text.0,11.6,121.05,382.0
1336458,breakfast-neg.text.0,11.2,121.55,382.0
1336459,breakfast-neg.text.0,10.9,121.26,382.0
1336460,breakfast-neg.text.0,10.8,121.07,381.0
1336461,breakfast-neg.text.0,11.1,120.86,382.0
1336462,breakfast-neg.text.0,11.3,121.15,382.0
1336463,breakfast-neg.text.0,11.3,121.45,382.0
1336464,breakfast-neg.text.0,11.2,121.55,382.0
1336465,breakfast-neg.text.0,11.1,121.66,382.0
1336466,breakfast-neg.text.0,11.3,121.65,382.0
1336467,breakfast-neg.text.0,11.4,121.45,381.0
1336468,breakfast-neg.text.0,11.2,121.26,380.0
1336469,breakfast-neg.text.0,10.8,121.07,381.0
1336470,breakfast-neg.text.0,10.5,120.97,381.0
1336471,breakfast-neg.text.0,10.7,120.77,381.0
1336472,breakfast-neg.text.0,10.8,120.47,381.0
1336473,breakfast-neg.text.0,11.0,120.37,380.0
1336474,breakfast-neg.text.0,11.2,120.16,381.0
1336475,breakfast-neg.text.0,11.4,120.16,381.0
1336476,breakfast-neg.text.0,11.4,120.36,381.0
1336477,breakfast-neg.text.0,11.4,120.56,380.0
1336478,breakfast-neg.text.0,11.6,120.75,379.0
1336479,breakfast-neg.text.0,11.7,120.85,379.0
1336480,breakfast-neg.text.0,11.4,120.85,380.0
1336481,breakfast-neg.text.0,11.0,121.06,381.0
1336482,breakfast-neg.text.0,11.0,121.06,382.0
1336483,breakfast-neg.text.0,11.4,120.95,382.0
1336484,breakfast-neg.text.0,11.7,120.95,382.0
1336485,breakfast-neg.text.0,11.3,120.86,381.0
1336486,breakfast-neg.text.0,10.9,120.77,381.0
1336487,breakfast-neg.text.0,10.7,120.57,380.0
1336488,breakfast-neg.text.0,11.0,120.37,380.0
1336489,breakfast-neg.text.0,11.6,120.35,380.0
1336490,breakfast-neg.text.0,12.0,120.35,380.0
1336491,breakfast-neg.text.0,12.2,120.64,380.0
1336492,breakfast-neg.text.0,12.1,120.84,380.0
1336493,breakfast-neg.text.0,12.0,120.94,380.0
1336494,breakfast-neg.text.0,12.0,120.94,380.0
1336495,breakfast-neg.text.0,12.0,120.94,380.0
1336496,breakfast-neg.text.0,11.5,121.15,380.0
1336497,breakfast-neg.text.0,10.8,121.26,380.0
1336498,breakfast-neg.text.0,10.2,121.38,380.0
1336499,breakfast-neg.text.0,10.1,121.48,380.0
1336500,breakfast-neg.text.0,10.3,121.17,381.0
1336501,breakfast-neg.text.0,10.6,120.97,381.0
1336502,breakfast-neg.text.0,10.9,120.77,381.0
1336503,breakfast-neg.text.0,11.0,120.56,381.0
1336504,breakfast-neg.text.0,11.0,120.27,380.0
1336505,breakfast-neg.text.0,11.0,119.97,380.0
1336506,breakfast-neg.text.0,11.1,119.77,380.0
1336507,breakfast-neg.text.0,11.1,119.67,380.0
1336508,breakfast-neg.text.0,11.2,119.57,381.0
1336509,breakfast-neg.text.0,11.4,119.46,381.0
1336510,breakfast-neg.text.0,11.5,119.46,381.0
1336511,breakfast-neg.text.0,11.6,119.76,380.0
1336512,breakfast-neg.text.0,11.5,120.26,380.0
1336513,breakfast-neg.text.0,11.4,120.56,379.0
1336514,breakfast-neg.text.0,11.2,120.56,379.0
1336515,breakfast-neg.text.0,11.0,120.37,379.0
1336516,breakfast-neg.text.0,10.7,120.27,379.0
1336517,breakfast-neg.text.0,10.6,120.18,380.0
1336518,breakfast-neg.text.0,10.7,120.07,381.0
1336519,breakfast-neg.text.0,10.8,120.07,382.0
1336520,breakfast-neg.text.0,10.9,120.17,382.0
1336521,breakfast-neg.text.0,10.8,120.37,382.0
1336522,breakfast-neg.text.0,10.2,120.68,382.0
1336523,breakfast-neg.text.0,9.8,120.59,383.0
1336524,breakfast-neg.text.0,9.0,120.41,384.0
1336525,breakfast-neg.text.0,8.0,120.03,385.0
1336526,breakfast-neg.text.0,6.9,119.75,383.0
1336527,breakfast-neg.text.0,6.2,119.37,381.0
1336528,breakfast-neg.text.0,6.3,119.07,379.0
1336529,breakfast-neg.text.0,5.7,118.78,380.0
1336530,breakfast-neg.text.0,5.0,118.6,380.0
1336531,breakfast-neg.text.0,4.4,118.51,380.0
1336532,breakfast-neg.text.0,4.7,118.5,380.0
1336533,breakfast-neg.text.0,5.0,118.5,380.0
1336534,breakfast-neg.text.0,5.5,118.39,380.0
1336535,breakfast-neg.text.0,6.7,118.27,380.0
1336536,breakfast-neg.text.0,8.2,118.04,380.0
1336537,breakfast-neg.text.0,9.7,117.61,380.0
1336538,breakfast-neg.text.0,10.3,117.3,381.0
1336539,breakfast-neg.text.0,10.3,117.3,381.0
1336540,breakfast-neg.text.0,10.3,117.6,382.0
1336541,breakfast-neg.text.0,10.3,117.8,382.0
1336542,breakfast-neg.text.0,10.4,117.7,381.0
1336543,breakfast-neg.text.0,10.4,117.5,380.0
1336544,breakfast-neg.text.0,10.4,117.4,381.0
1336545,breakfast-neg.text.0,10.3,117.2,381.0
1336546,breakfast-neg.text.0,10.0,117.01,381.0
1336547,breakfast-neg.text.0,9.7,117.01,381.0
1336548,breakfast-neg.text.0,9.5,117.32,380.0
1336549,breakfast-neg.text.0,9.6,117.51,381.0
1336550,breakfast-neg.text.0,9.6,117.61,381.0
1336551,breakfast-neg.text.0,9.7,117.51,381.0
1336552,breakfast-neg.text.0,9.9,117.51,381.0
1336553,breakfast-neg.text.0,10.0,117.5,381.0
1336554,breakfast-neg.text.0,9.7,117.71,380.0
1336555,breakfast-neg.text.0,9.2,117.72,380.0
1336556,breakfast-neg.text.0,8.7,117.63,380.0
1336557,breakfast-neg.text.0,8.8,117.43,379.0
1336558,breakfast-neg.text.0,9.0,117.23,378.0
1336559,breakfast-neg.text.0,9.1,117.13,378.0
1336560,breakfast-neg.text.0,9.4,117.02,379.0
1336561,breakfast-neg.text.0,9.5,116.92,379.0
1336562,breakfast-neg.text.0,9.7,117.21,379.0
1336563,breakfast-neg.text.0,9.6,117.61,378.0
1336564,breakfast-neg.text.0,9.4,118.21,378.0
1336565,breakfast-neg.text.0,9.2,118.51,377.0
1336566,breakfast-neg.text.0,8.9,118.82,377.0
1336567,breakfast-neg.text.0,8.4,118.93,377.0
1336568,breakfast-neg.text.0,7.9,119.14,377.0
1336569,breakfast-neg.text.0,8.4,118.53,377.0
1336570,breakfast-neg.text.0,9.1,118.02,377.0
1336571,breakfast-neg.text.0,9.8,117.51,377.0
1336572,breakfast-neg.text.0,9.6,117.71,377.0
1336573,breakfast-neg.text.0,9.2,117.72,377.0
1336574,breakfast-neg.text.0,8.9,117.53,377.0
1336575,breakfast-neg.text.0,8.9,117.33,377.0
1336576,breakfast-neg.text.0,8.8,117.33,377.0
1336577,breakfast-neg.text.0,9.1,117.32,377.0
1336578,breakfast-neg.text.0,9.2,117.32,376.0
1336579,breakfast-neg.text.0,9.4,117.42,376.0
1336580,breakfast-neg.text.0,9.4,117.62,376.0
1336581,breakfast-neg.text.0,9.5,117.71,375.0
1336582,breakfast-neg.text.0,9.6,117.81,374.0
1336583,breakfast-neg.text.0,9.5,117.81,374.0
1336584,breakfast-neg.text.0,9.4,117.91,375.0
1336585,breakfast-neg.text.0,9.8,118.01,375.0
1336586,breakfast-neg.text.0,10.4,117.79,375.0
1336587,breakfast-neg.text.0,10.5,117.59,375.0
1336588,breakfast-neg.text.0,10.1,117.5,375.0
1336589,breakfast-neg.text.0,9.7,117.61,375.0
1336590,breakfast-neg.text.0,9.9,117.61,374.0
1336591,breakfast-neg.text.0,10.1,117.5,374.0
1336592,breakfast-neg.text.0,10.4,117.4,374.0
1336593,breakfast-neg.text.0,10.4,117.3,374.0
1336594,breakfast-neg.text.0,9.9,117.11,375.0
1336595,breakfast-neg.text.0,9.2,117.12,375.0
1336596,breakfast-neg.text.0,8.5,117.14,375.0
1336597,breakfast-neg.text.0,9.1,117.03,375.0
1336598,breakfast-neg.text.0,9.8,116.91,375.0
1336599,breakfast-neg.text.0,10.5,116.8,375.0
1336600,breakfast-neg.text.0,10.2,117.0,374.0
1336601,breakfast-neg.text.0,9.7,117.11,374.0
1336602,breakfast-neg.text.0,9.4,117.22,375.0
1336603,breakfast-neg.text.0,9.3,117.42,375.0
1336604,breakfast-neg.text.0,9.4,117.72,375.0
1336605,breakfast-neg.text.0,9.5,117.91,374.0
1336606,breakfast-neg.text.0,9.6,117.71,373.0
1336607,breakfast-neg.text.0,9.6,117.51,373.0
